Computing...


Start DBSCAN
Cluster 0:

        ID: 72675468,  X: 116.276855,  Y: 39.930769

        ID: 64136357,  X: 116.27450242638587,  Y: 39.93002604539469

        ID: 66063455,  X: 116.274368,  Y: 39.930661

        ID: 66938860,  X: 116.274384,  Y: 39.93026

        ID: 71476619,  X: 116.274402,  Y: 39.929998

        ID: 72825910,  X: 116.274356,  Y: 39.930569

        ID: 72961775,  X: 116.274356,  Y: 39.930569

        ID: 73025763,  X: 116.274356,  Y: 39.930569

        ID: 73087790,  X: 116.274356,  Y: 39.930569

        ID: 73358348,  X: 116.274356,  Y: 39.930569

        ID: 73372444,  X: 116.274356,  Y: 39.930569

        ID: 73880970,  X: 116.274356,  Y: 39.930569

        ID: 68925343,  X: 116.274576,  Y: 39.931013

        ID: 72141080,  X: 116.276554,  Y: 39.931461

        ID: 66254932,  X: 116.276434,  Y: 39.927342

        ID: 66255581,  X: 116.276434,  Y: 39.927342

        ID: 65402715,  X: 116.275726,  Y: 39.927552

        ID: 65477894,  X: 116.275726,  Y: 39.927552

        ID: 65864993,  X: 116.275726,  Y: 39.927552

        ID: 66710710,  X: 116.275726,  Y: 39.927552

        ID: 66980999,  X: 116.275726,  Y: 39.927552

        ID: 66981738,  X: 116.275726,  Y: 39.927552

        ID: 67456822,  X: 116.275726,  Y: 39.927552

        ID: 67656924,  X: 116.275726,  Y: 39.927552

        ID: 68662683,  X: 116.275726,  Y: 39.927552

        ID: 69303330,  X: 116.275726,  Y: 39.927552

        ID: 69977322,  X: 116.275726,  Y: 39.927552

        ID: 70080580,  X: 116.275726,  Y: 39.927552

        ID: 70195101,  X: 116.275726,  Y: 39.927552

        ID: 70312553,  X: 116.275726,  Y: 39.927552

        ID: 71904749,  X: 116.275726,  Y: 39.927552

        ID: 71977525,  X: 116.275726,  Y: 39.927552

        ID: 71998296,  X: 116.275726,  Y: 39.927552

        ID: 71898921,  X: 116.27537548542021,  Y: 39.92762778001387

        ID: 72923968,  X: 116.275726,  Y: 39.927552

        ID: 73064524,  X: 116.275726,  Y: 39.927552

        ID: 73557154,  X: 116.275726,  Y: 39.927552

        ID: 73879406,  X: 116.275726,  Y: 39.927552

        ID: 66686160,  X: 116.277382,  Y: 39.927329

        ID: 66627400,  X: 116.277382,  Y: 39.927329

        ID: 70135639,  X: 116.277382,  Y: 39.927329

        ID: 72102191,  X: 116.277382,  Y: 39.927329

        ID: 72134673,  X: 116.277382,  Y: 39.927329

        ID: 72102565,  X: 116.277382,  Y: 39.927329

        ID: 72135685,  X: 116.277382,  Y: 39.927329

        ID: 72131855,  X: 116.277382,  Y: 39.927329

        ID: 72132161,  X: 116.277382,  Y: 39.927329

        ID: 72138470,  X: 116.277382,  Y: 39.927329

        ID: 72132483,  X: 116.277382,  Y: 39.927329

        ID: 72135985,  X: 116.277382,  Y: 39.927329

        ID: 72138845,  X: 116.277382,  Y: 39.927329

        ID: 72132909,  X: 116.277382,  Y: 39.927329

        ID: 72208111,  X: 116.277382,  Y: 39.927329

        ID: 72284759,  X: 116.277382,  Y: 39.927329

        ID: 72682695,  X: 116.277752,  Y: 39.927781

        ID: 72745856,  X: 116.276979,  Y: 39.927114

        ID: 72745799,  X: 116.276979,  Y: 39.927114

        ID: 72359514,  X: 116.278056,  Y: 39.928035

        ID: 62960532,  X: 116.27844,  Y: 39.92793

        ID: 63519266,  X: 116.278327,  Y: 39.928209

        ID: 65347476,  X: 116.27828,  Y: 39.928933

        ID: 65631914,  X: 116.278567,  Y: 39.928257

        ID: 67270613,  X: 116.278432,  Y: 39.928455

        ID: 67270841,  X: 116.278567,  Y: 39.928246

        ID: 67270716,  X: 116.278432,  Y: 39.928455

        ID: 67270822,  X: 116.278432,  Y: 39.928455

